lastfm_tagcn_randomattack_add_xgb,0.1496,0.2953,0.4383,0.584,0.727,0.832,0.8937,0.9265,0.937,0.9501,0.9619,0.9685,0.9803,0.9816,0.9843,0.9869,0.9895,0.9934,0.9987,1.0
lastfm_tagcn_randomattack_add_lgb,0.1496,0.2966,0.4423,0.5853,0.7244,0.836,0.899,0.9291,0.9501,0.9606,0.9698,0.9764,0.9777,0.9829,0.9856,0.9921,0.9948,0.9961,0.9974,1.0
lastfm_tagcn_randomattack_add_rf,0.1483,0.2979,0.4449,0.5892,0.7205,0.836,0.8976,0.916,0.937,0.9528,0.9672,0.9698,0.9751,0.9816,0.9843,0.9908,0.9948,0.9961,1.0,1.0
lastfm_tagcn_randomattack_add_lr,0.147,0.29,0.4344,0.5814,0.7113,0.8071,0.8661,0.9081,0.9344,0.9488,0.9633,0.9698,0.9764,0.979,0.9816,0.9856,0.9882,0.9921,0.9987,1.0
lastfm_tagcn_randomattack_add_mutation,0.1404,0.2808,0.3819,0.4659,0.5577,0.6352,0.6759,0.706,0.7559,0.7861,0.8005,0.8163,0.8622,0.8898,0.9016,0.9357,0.9606,0.9724,0.9856,1.0
lastfm_tagcn_randomattack_add_fusion,0.1496,0.2992,0.4449,0.5879,0.7231,0.8333,0.895,0.9265,0.9488,0.9646,0.9711,0.9751,0.9803,0.9856,0.9895,0.9908,0.9948,0.9948,0.9961,1.0
lastfm_tagcn_randomattack_add_margin,0.1168,0.2349,0.3438,0.4423,0.5499,0.6444,0.7257,0.7953,0.853,0.8871,0.9108,0.9357,0.9475,0.9633,0.9751,0.9895,0.9908,0.9987,1.0,1.0
lastfm_tagcn_randomattack_add_deepGini,0.1352,0.2388,0.332,0.4252,0.5092,0.5748,0.6417,0.7034,0.7598,0.8018,0.8504,0.895,0.9213,0.9541,0.9711,0.9816,0.9882,0.9934,1.0,1.0
lastfm_tagcn_randomattack_add_leastConfidence,0.1339,0.2428,0.353,0.4659,0.5617,0.6522,0.7546,0.8215,0.8727,0.9055,0.9304,0.9488,0.9567,0.9685,0.9803,0.9869,0.9921,0.9974,1.0,1.0
lastfm_tagcn_randomattack_add_random,0.0577,0.105,0.1391,0.1903,0.2428,0.2966,0.3451,0.395,0.4449,0.4908,0.5433,0.5997,0.6522,0.7126,0.7677,0.8176,0.8504,0.9055,0.9475,1.0
lastfm_tagcn_randomattack_add_fusion_weight,0.1496,0.2992,0.4449,0.5879,0.7231,0.8346,0.895,0.9265,0.9488,0.9646,0.9711,0.9751,0.9803,0.9856,0.9895,0.9921,0.9948,0.9948,0.9961,1.0
lastfm_tagcn_randomattack_add_fusion_stacking,0.1391,0.2848,0.4186,0.5643,0.6995,0.8399,0.895,0.899,0.9081,0.9239,0.9291,0.9331,0.9409,0.9462,0.9567,0.9685,0.9751,0.9869,0.9934,1.0
lastfm_tagcn_randomattack_add_fusion_voting,0.1444,0.2913,0.4331,0.5722,0.71,0.8346,0.8911,0.9016,0.9094,0.9147,0.9213,0.9318,0.9383,0.9436,0.9528,0.9659,0.9738,0.9869,0.9934,1.0
